表6-2　都道府県別交通事故発生状況,,,,,,,,,,,(令和7年6月末),
,,,,,,,,,,,,
,,,交通事故件数（速報値）,交通事故件数（速報値）,交通事故件数（速報値）,死者数,死者数,死者数,死者数,負傷者数（速報値）,負傷者数（速報値）,負傷者数（速報値）
地域コード,管区・支局,都道府県・方面本部,件,増減数,増減率,人,増減数,増減率,順位,人,増減数,増減率
,北海道,札幌,2785,-365,-11.6,24,3,14.3,***,3205,-568,-15.1
,北海道,函館,249,-2,-0.8,3,0,0.0,***,307,15,5.1
,北海道,旭川,361,4,1.1,5,-1,-16.7,***,418,-16,-3.7
,北海道,釧路,307,-76,-19.8,11,4,57.1,***,346,-77,-18.2
,北海道,北見,102,9,9.7,6,2,50.0,***,118,9,8.3
01,北海道,計,3804,-430,-10.2,49,8,19.5,7,4394,-637,-12.7
02,東北,青森,1088,62,6.0,12,-10,-45.5,34,1311,102,8.4
03,東北,岩手,700,87,14.2,10,-4,-28.6,37,880,128,17.0
04,東北,宮城,1753,-45,-2.5,18,-5,-21.7,25,2135,-44,-2.0
05,東北,秋田,448,2,0.4,13,3,30.0,32,529,4,0.8
06,東北,山形,1177,-18,-1.5,6,-5,-45.5,47,1405,-13,-0.9
07,東北,福島,1623,288,21.6,29,6,26.1,14,1961,391,24.9
,東北,計,6789,376,5.9,88,-15,-14.6,***,8221,568,7.4
13,東京,東京,14676,73,0.5,68,-1,-1.4,1,16147,47,0.3
08,関東,茨城,2879,-39,-1.3,42,-2,-4.5,8,3540,-86,-2.4
09,関東,栃木,1991,191,10.6,35,14,66.7,11,2369,241,11.3
10,関東,群馬,4360,-53,-1.2,22,-2,-8.3,20,5356,-68,-1.3
11,関東,埼玉,7379,-331,-4.3,56,12,27.3,5,8666,-437,-4.8
12,関東,千葉,6014,-1,0.0,57,-15,-20.8,4,7124,6,0.1
14,関東,神奈川,10002,-51,-0.5,63,12,23.5,2,11515,-128,-1.1
15,関東,新潟,1153,-130,-10.1,24,-6,-20.0,18,1316,-147,-10.0
19,関東,山梨,916,-19,-2.0,7,-3,-30.0,45,1072,-42,-3.8
20,関東,長野,2068,-343,-14.2,21,-3,-12.5,23,2451,-461,-15.8
22,関東,静岡,7899,-737,-8.5,33,-1,-2.9,12,9841,-1007,-9.3
,関東,計,44661,-1513,-3.3,360,6,1.7,***,53250,-2129,-3.8
16,中部,富山,868,1,0.1,10,3,42.9,37,973,-18,-1.8
17,中部,石川,827,-26,-3.0,10,-1,-9.1,37,932,-44,-4.5
18,中部,福井,480,32,7.1,12,4,50.0,34,532,15,2.9
21,中部,岐阜,1407,11,0.8,24,-4,-14.3,18,1714,10,0.6
23,中部,愛知,11844,232,2.0,50,-15,-23.1,6,13867,139,1.0
24,中部,三重,1245,-132,-9.6,22,0,0.0,20,1526,-162,-9.6
,中部,計,16671,118,0.7,128,-13,-9.2,***,19544,-60,-0.3
25,近畿,滋賀,1241,-18,-1.4,25,14,127.3,16,1480,-44,-2.9
26,近畿,京都,1786,-155,-8.0,25,3,13.6,16,1997,-213,-9.6
27,近畿,大阪,11873,36,0.3,58,4,7.4,3,13678,-27,-0.2
28,近畿,兵庫,6853,-631,-8.4,42,-12,-22.2,8,8100,-682,-7.8
29,近畿,奈良,1252,79,6.7,12,3,33.3,34,1510,112,8.0
30,近畿,和歌山,590,-24,-3.9,16,5,45.5,29,684,-23,-3.3
,近畿,計,23595,-713,-2.9,178,17,10.6,***,27449,-877,-3.1
31,中国,鳥取,275,-18,-6.1,7,3,75.0,45,315,-14,-4.3
32,中国,島根,335,-10,-2.9,9,4,80.0,42,375,-9,-2.3
33,中国,岡山,2304,-48,-2.0,18,-3,-14.3,25,2649,0,0.0
34,中国,広島,1912,-272,-12.5,28,-7,-20.0,15,2259,-326,-12.6
35,中国,山口,1117,78,7.5,15,-4,-21.1,31,1340,124,10.2
,中国,計,5943,-270,-4.3,77,-7,-8.3,***,6938,-225,-3.1
36,四国,徳島,887,57,6.9,8,-6,-42.9,43,1046,48,4.8
37,四国,香川,1281,-134,-9.5,10,-5,-33.3,37,1564,-177,-10.2
38,四国,愛媛,1002,8,0.8,31,10,47.6,13,1084,-14,-1.3
39,四国,高知,371,-52,-12.3,10,-2,-16.7,37,397,-60,-13.1
,四国,計,3541,-121,-3.3,59,-3,-4.8,***,4091,-203,-4.7
40,九州,福岡,8560,-558,-6.1,41,-6,-12.8,10,10688,-828,-7.2
41,九州,佐賀,1118,-202,-15.3,8,-1,-11.1,43,1445,-290,-16.7
42,九州,長崎,1152,-17,-1.5,13,1,8.3,32,1414,-24,-1.7
43,九州,熊本,1383,-69,-4.8,17,-8,-32.0,28,1682,-89,-5.0
44,九州,大分,930,-52,-5.3,19,7,58.3,24,1135,-74,-6.1
45,九州,宮崎,1081,-241,-18.2,16,2,14.3,29,1203,-268,-18.2
46,九州,鹿児島,1186,-223,-15.8,22,-4,-15.4,20,1320,-240,-15.4
47,九州,沖縄,1212,-57,-4.5,18,-4,-18.2,25,1427,-62,-4.2
,九州,計,16622,-1419,-7.9,154,-13,-7.8,***,20314,-1875,-8.5
00,全国,,136302,-3899,-2.8,1161,-21,-1.8,***,160348,-5391,-3.3
,,,,,,,,,,,,
,,,,,,,,,,,,
